0	0.01257	0.00035
1	0.01275	0.00021
2	0.01472	0.00026
3	0.01124	0.00015
4	0.01143	0.00013
5	0.01043	0.00014
6	0.01220	0.00010
7	0.00807	0.00009
8	0.00889	0.00012
9	0.01268	0.00012
10	0.01211	0.00018
11	0.01923	0.00013
12	0.00927	0.00008
13	0.00969	0.00009
14	0.01088	0.00011
15	0.01468	0.00016
16	0.01747	0.00014
17	0.01358	0.00013
18	0.01392	0.00014
19	0.01627	0.00018
20	0.02129	0.00027
21	0.02548	0.00027
22	0.02241	0.00026
23	0.02259	0.00029
24	0.02641	0.00041
25	0.03528	0.00063
26	0.03872	0.00071
27	0.04489	0.00087
28	0.04328	0.00096
29	0.05105	0.00133
30	0.06235	0.00180
31	0.06444	0.00222
32	0.09111	0.00317
33	0.08298	0.00377
34	0.09618	0.00000
