0	0.01754	0.00043
1	0.01437	0.00018
2	0.00821	0.00017
3	0.00868	0.00013
4	0.00879	0.00015
5	0.01506	0.00034
6	0.02153	0.00016
7	0.00741	0.00007
8	0.00691	0.00008
9	0.00894	0.00011
10	0.01562	0.00019
11	0.01646	0.00013
12	0.01021	0.00009
13	0.00918	0.00010
14	0.01230	0.00013
15	0.01575	0.00017
16	0.01685	0.00015
17	0.01390	0.00015
18	0.01477	0.00014
19	0.01462	0.00016
20	0.02072	0.00024
21	0.02220	0.00028
22	0.02638	0.00034
23	0.02317	0.00029
24	0.02487	0.00036
25	0.03130	0.00055
26	0.03727	0.00067
27	0.04297	0.00091
28	0.04468	0.00097
29	0.04847	0.00121
30	0.05663	0.00152
31	0.05698	0.00173
32	0.07981	0.00294
33	0.08045	0.00346
34	0.08992	0.00000
